0.13468,0.89926
0.72518,0.85693
0.22834,0.52861
0.74111,0.19288
0.78216,0.04334
0.08441,0.25224
0.08023,0.48805
0.43049,0.08167
0.26435,0.09241
0.62578,0.03488
0.09403,0.61528
0.78121,0.11753
0.03732,0.69802
0.33622,0.41987
0.09738,0.00934
0.74993,0.66866
0.28187,0.46236
0.97522,0.42943
0.12116,0.28462
0.37257,0.99045
0.14167,0.22373
0.21940,0.45946
0.70034,0.66832
0.47136,0.10462
0.08679,0.96658
0.93207,0.47093
0.29957,0.72323
0.48680,0.30308
0.40190,0.35643
0.55760,0.80633
0.86431,0.69539
0.43464,0.27662
0.79946,0.90048
0.64122,0.63094
0.49617,0.48674
0.98807,0.86920
0.15806,0.73235
0.47331,0.99936
0.25404,0.25272
0.68456,0.45640
0.38578,0.02243
0.85900,0.54686
0.07968,0.62505
0.25806,0.94980
0.40834,0.01309
0.01276,0.80587
0.84869,0.55913
0.09598,0.42546
0.28248,0.67870
0.57796,0.14719
0.54595,0.80706
0.82119,0.37815
0.43416,0.01077
0.77117,0.34672
0.56682,0.01498
0.99899,0.60009
0.02188,0.92834
0.65203,0.77654
0.14261,0.44594
0.96930,0.68487
0.42506,0.81280
0.51744,0.22141
0.89157,0.32740
0.80358,0.15635
0.85714,0.66836
0.42140,0.32032
0.49440,0.82397
0.38685,0.22269
0.10389,0.90698
0.81936,0.63277
0.49538,0.63503
0.62490,0.15506
0.38694,0.75866
0.33769,0.33015
0.22788,0.21744
0.77596,0.29176
0.35170,0.30650
0.66848,0.51222
0.86529,0.63323
0.90817,0.66686
0.18085,0.14701
0.58879,0.14853
0.59667,0.02200
0.48125,0.26435
0.83267,0.67504
0.10532,0.64476
0.92767,0.69900
0.05368,0.89703
0.40407,0.99414
0.72393,0.03409
0.10620,0.87735
0.11487,0.71017
0.61919,0.45155
0.84411,0.79382
0.67342,0.01593
0.04187,0.31071
0.44243,0.79855
0.27860,0.28642
0.13907,0.79220
0.18168,0.52101
